name,ofname,countryofreg,countryofown,owner,users,purpose,detpurpose,clasorbit,typeorbit,longitudegeo,perigee,apogee,eccentricity,inclination,period,launchmass,drymass,power,datelaunch,explifetime,contractor,countrycontractor,launchsite,launchvehicle
1HOPSAT-TD (1st-generation High Optical Performance Satellite),1HOPSAT,NR (12/20),USA,Hera Systems,Commercial,Earth Observation,Technology Development,LEO,Non-Polar Inclined,0,566,576,7.20E-04,36.9,96.08,22,,,12/11/19,0.5,Hera Systems,USA,Satish Dhawan Space Centre,PSLV
3Cat-1,3Cat-1,NR,Spain,Universitat Politècnica de Catalunya,Civil,Technology Development,,LEO,,0,476,500,1.75E-03,97.4,95,4,,,11/29/18,,Universitat Politècnica de Catalunya,Spain,Satish Dhawan Space Centre,PSLV
Aalto-1 ,Aalto-1,Finland,Finland,Aalto University,Civil,Technology Development,,LEO,,0,497,517,1.45E-03,97.45,94.7,5,,4.5,6/23/17,2,Aalto University,Finland,Satish Dhawan Space Centre,PSLV
AAUSat-4,AAUSat-4,Denmark,Denmark,University of Aalborg,Civil,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,442,687,1.77E-02,98.2,95.9,1,,,4/25/16,,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a
"ABS-2 (Koreasat-8, ST-3)",ABS-2,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75,"35,778","35,793",1.78E-04,0.08,1436.03,"6,330",,"16,000",2/6/14,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA
ABS-2A,ABS-2A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,-75,"35,700","35,700",0.00E+00,0,1436.1,"1,800",,,6/15/16,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9
ABS-3A ,ABS-3A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,-3,"35,788","35,803",1.78E-04,0.1,1436,"2,000",,,3/2/15,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",ABS-4,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75,"35,780","35,793",1.54E-04,0.01,1436.1,"4,143","1,700","7,400",3/13/04,12,Space Systems/Loral,USA,Cape Canaveral,Atlas 3
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",ABS-6,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,159,"35,777","35,794",2.02E-04,0.01,1436.08,"2,894","1,730","6,800 (EOL)",9/26/99,15,Lockheed Martin,USA,Baikonur Cosmodrome,Proton
"ABS-7 (Koreasat 3, Mugungwha 3)",ABS-7,South Korea,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,116.18,"35,780","35,791",1.30E-04,0.01,1436.06,"3,500","1,800","4,800",9/4/99,15,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane
"Advanced Orion 10 (Mentor, NRO L-44, USA 311)",USA 311,NR (12/20),USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,,"35,700","35,800",1.19E-03,0,1437.6,"5,400",,,12/11/20,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy
"Advanced Orion 4 (Mentor, NROL 6, USA 139)",USA 139,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,-26,"35,560","36,013",5.37E-03,7.72,1436.14,"5,200",,,5/9/98,,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA
"Advanced Orion 5 (Mentor, NROL 19, USA 171)",USA 171,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,68,"35,589","35,984",4.68E-03,3.2,1436.1,"5,200",,,9/9/03,,TRW Space and Electronics,USA,Cape Canaveral,Titan IV
"Advanced Orion 6 (Mentor, NRO L-26, USA 202)",USA 202,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,44,"35,714","35,937",2.64E-03,2.89,1438.8,"5,400",,,1/18/09,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy
"Advanced Orion 7 (Mentor, NRO L-32, USA 223)",USA 223,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,95,"35,500","35,500",0.00E+00,0,1436,"5,000",,,11/21/10,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy
"Advanced Orion 8 (Mentor, NRO L-15, USA 237)",USA 237,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,60,"35,771","35,805",4.03E-04,0,1436.1,"5,000",,,6/29/12,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy
"Advanced Orion 9 (Mentor, NRO L-37, USA 268)",USA 268,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,102.6,"35,613","35,903",3.44E-03,7.51,1437.19,"5,000",,,6/11/16,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",USA 235,USA,USA,US Air Force,Military,Communications,,GEO,,-120,"35,772","35,801",3.44E-04,2.34,1436.1,"6,169",,,5/3/12,14,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",USA 246,NR,USA,US Air Force,Military,Communications,,GEO,,152.1,"35,700","35,803",1.22E-03,4.2,1436.1,"6,169",,,9/18/13,14,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5
"AEHF-4 (Advanced Extremely High Frequency satellite-4, USA 288)",USA 288,USA,USA,US Air Force,Military,Communications,,GEO,,150.2,"35,781","35,790",1.07E-04,0.05,1436.1,"6,169",,,10/17/18,,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5
"AEHF-5 (Advanced Extremely High Frequency satellite-5, USA 292)",USA 292,USA,USA,US Air Force,Military,Communications,,GEO,,-94.39,"35,780","35,810",3.56E-04,6.4,1436.2,"6,169",,,8/8/19,,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5
